Date Posted,Link,Text,Region
2/11/2020,https://www.poynter.org/?ifcn_misinformation=breaking-uk-prepares-for-full-lockdown-after-hundreds-of-new-cases-wuhan-super-virus-updates," ""Breaking",United States
2/12/2020,https://www.poynter.org/?ifcn_misinformation=will-the-coronavirus-epidemic-disappear-in-april-thanks-to-the-heat-as-donald-trump-said," The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=police-publicly-kill-a-coronavirus-infected-woman-in-china," Police publicly kill a coronavirus-infected woman in China.		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=the-chinese-have-begun-to-use-their-human-corpes-to-process-into-products-such-as-corned-beef-to-ship-to-africa-please-share-with-your-contacts-very-important," ""THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important""		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=china-is-seeking-courts-approval-to-kill-20000-people-positive-with-coronavirus," China is seeking court's approval to kill 20,000 people positive with coronavirus		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=china-seeks-courts-approval-to-kill-20000-coronavirus-patients-2," China seeks court's approval to kill 20,000 coronavirus patients.		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=hand-sanitizer-form-2010-is-labeled-against-coronavirus-2019-ncov," Hand sanitizer form 2010 is labeled against COVID-19.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=china-orders-citizens-to-abandon-kill-their-pets-as-they-can-transmit-coronavirus," China orders citizens to abandon/kill their pets as they can transmit coronavirus.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=vitamin-c-and-omega-prevents-coronavirus," Vitamin C and Omega prevent the new coronavirus.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=germans-quarantined-in-la-gomera-by-the-coronavirus-leave-home-isolation-without-permission," Germans quarantined in La Gomera by the coronavirus leave home isolation without permission.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-pandemic-can-be-dramatically-slowed-or-stopped-with-the-immediate-widespread-use-of-high-doses-of-vitamin-c," The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",United States
2/12/2020,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-pandemic-can-be-dramatically-slowed-or-stopped-with-the-immediate-widespread-use-of-high-doses-of-vitamin-c-2," The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",United States
2/12/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-cases-reported-in-rome-georgia," Coronavirus cases reported in Rome, Georgia.		",United States
2/12/2020,https://www.poynter.org/?ifcn_misinformation=silver-solution-used-on-strains-of-coronavirus-totally-eliminate-it-kills-it-deactivates-it," Silver Solution used on strains of coronavirus ""totally eliminates it. Kills it. Deactivates it.""		",United States
2/13/2020,https://www.poynter.org/?ifcn_misinformation=bats-responsible-for-the-outbreak-of-coronavirus-originated-from-the-rooftop-of-a-house-in-wuhan," Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.		",India
2/13/2020,https://www.poynter.org/?ifcn_misinformation=weed-kills-coronavirus," Weed kills the coronavirus.		",India
2/13/2020,https://www.poynter.org/?ifcn_misinformation=covid-19-was-caused-by-5g-antennas," COVID-19 was caused by 5G antennas.		",Europe
2/13/2020,https://www.poynter.org/?ifcn_misinformation=satellite-images-showing-high-levels-of-sulphur-dioxide-above-china-are-possible-evidence-of-mass-cremations-of-people-who-have-died-from-coronavirus-2," Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		",Europe
2/13/2020,https://www.poynter.org/?ifcn_misinformation=using-cocaine-kills-the-coronavirus," Using cocaine kills the coronavirus		",Europe
2/13/2020,https://www.poynter.org/?ifcn_misinformation=the-chinese-news-website-tencent-filters-that-there-are-more-than-24000-deaths-from-coronavirus," The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus.		",Europe
2/13/2020,https://www.poynter.org/?ifcn_misinformation=claims-of-cannibalism-in-china-people-are-cutting-a-baby-in-order-to-eat-it, Claims of cannibalism in China,Europe
2/13/2020,https://www.poynter.org/?ifcn_misinformation=a-person-with-coronavirus-in-calella-barcelona-february-13th," This is a person with coronavirus in Calella, Barcelona (2/13/20).		",Europe
2/14/2020,https://www.poynter.org/?ifcn_misinformation=does-a-sulfur-dioxide-pollution-in-wuhan-reveal-that-china-is-burning-bodies-of-victims," Sulfur dioxide pollution in Wuhan reveals that China is burning bodies of victims.		",Europe
2/14/2020,https://www.poynter.org/?ifcn_misinformation=china-orders-citizens-to-abandon-kill-their-pets-as-they-can-transmit-coronavirus-2," China orders citizens to abandon/kill their pets as they can transmit coronavirus.		",Europe
2/14/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-was-created-in-a-lab-in-wuhan," Coronavirus was created in a lab in Wuhan.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=people-in-wuhan-locked-inside-their-houses-trying-to-escape-building-fire," People in Wuhan are locked inside their houses trying to escape a building fire.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=who-declared-covid-19-to-be-the-abbreviation-for-china-outbreak-virus-in-december-19," The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=video-of-police-killing-covid-19-affected-people-in-china," A video shows police killing COVID-19 affected people in China.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=chicken-infected-from-coronavirus-found-in-bangalore," Chicken infected from coronavirus found In Bangalore.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=video-of-police-killing-covid-19-affected-people-in-china-2," Video of police killing COVID-19 affected people in China.		",India
2/14/2020,https://www.poynter.org/?ifcn_misinformation=a-video-of-a-chinese-epidemiologist-saying-that-there-are-millions-of-infected," A video shows a Chinese epidemiologist saying there are millions of people infected.		",Europe
2/14/2020,https://www.poynter.org/?ifcn_misinformation=this-photo-is-a-chinese-tapa%c2%a8from-a-bat," This photo is a ""chinese tapa""?from a bat.		",Europe
2/14/2020,https://www.poynter.org/?ifcn_misinformation=residential-building-was-set-on-fire-in-wuhan-to-control-spread-of-coronavirus," A residential building was set on fire in Wuhan to control spread of coronavirus.		",United States
2/14/2020,https://www.poynter.org/?ifcn_misinformation=high-rise-buildings-have-become-human-incinerators-to-combat-spread-of-coronavirus," High-rise buildings have become human incinerators to combat the spread of the coronavirus.		",United States
2/15/2020,https://www.poynter.org/?ifcn_misinformation=new-confirmed-cases-of-covid-19-in-kolkatta-reported-by-press-trust-of-india," New confirmed cases of COVID-19 in Kolkatta reported by Press Trust of India.		",India
2/15/2020,https://www.poynter.org/?ifcn_misinformation=high-levels-of-sulfur-dioxide-in-wuhan-may-be-a-sign-of-mass-cremations-of-victims-of-the-coronavirus," High levels of sulfur dioxide in Wuhan ""may be a sign of mass cremations of victims of the coronavirus.""		",United States
2/16/2020,https://www.poynter.org/?ifcn_misinformation=china-has-announced-the-sucess-of-egyptian-serum-form-dr-hala-ealth-miniter-of-egypt-against-coronavirus," China has announced the sucess of Egyptian serum form Dr. Hala, Ealth Miniter of Egypt, against coronavirus		",Europe
2/16/2020,https://www.poynter.org/?ifcn_misinformation=china-has-announced-the-sucess-of-egyptian-serum-form-dr-hala-ealth-miniter-of-egypt-against-coronavirus-2," China has announced the success of Egyptian serum form Dr. Hala, Health Minister of Egypt, against coronavirus		",Europe
2/17/2020,https://www.poynter.org/?ifcn_misinformation=covid-19-case-in-east-indian-state," There is a COVID-19 case in east Indian state.		",India
2/17/2020,https://www.poynter.org/?ifcn_misinformation=bus-driver-in-china-vomits-blood-after-becoming-unconscious-behind-the-wheel," Bus driver in China vomits blood after becoming unconscious behind the wheel.		",India
2/17/2020,https://www.poynter.org/?ifcn_misinformation=video-showing-massive-explosion-in-wuhan-china-to-control-the-spread-of-coronavirus," A video shows a massive explosion in Wuhan, China, to control the spread of coronavirus.		",India
2/17/2020,https://www.poynter.org/?ifcn_misinformation=black-skin-is-resistant-to-coronavirus," Black skin is resistant to coronavirus.		",Europe
2/17/2020,https://www.poynter.org/?ifcn_misinformation=consuming-magnesium-chloride-sodium-bicarbonate-ginger-and-lemon-juice-prevents-coronavirus-infection," Consuming magnesium chloride, sodium bicarbonate, ginger and lemon juice prevents coronavirus infection.		",Europe
2/17/2020,https://www.poynter.org/?ifcn_misinformation=latest-research-by-chinese-scientists-said-coronavirus-will-render-most-male-patients-infertile," Latest research by Chinese scientists said coronavirus will render most male patients infertile.		",United States
2/18/2020,https://www.poynter.org/?ifcn_misinformation=this-bottle-of-disinfectant-gel-prooves-that-the-coronavirus-sars-cov-2-existed-before-2019," This bottle of disinfectant gel proves that the coronavirus existed before 2019.		",Europe
2/18/2020,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-outbreak-in-georgia-is-caused-by-the-eu-georgia-association-agreement," The coronavirus outbreak in Georgia is caused by the EU-Georgia Association Agreement.		",Europe
2/18/2020,https://www.poynter.org/?ifcn_misinformation=drinking-alcohol-kills-the-coronavirus," Drinking alcohol kills the coronavirus.		",India
2/18/2020,https://www.poynter.org/?ifcn_misinformation=7-children-die-of-coronavirus-with-1-week-in-karimganj-assam-india," Seven children died from coronavirus within one week in Karimganj (Assam, India).		",India
2/18/2020,https://www.poynter.org/?ifcn_misinformation=cocaine-kills-coronavirus," Cocaine kills the coronavirus.		",India
2/18/2020,https://www.poynter.org/?ifcn_misinformation=data-shows-massive-release-of-sulfur-dioxide-gas-near-wuhan," Data shows a massive release of sulfur dioxide gas near Wuhan.		",United States
2/18/2020,https://www.poynter.org/?ifcn_misinformation=popping-bubble-wrap-does-not-exposes-people-to-coronavirus," Popping bubble wrap exposes people to coronavirus.		",United States
2/18/2020,https://www.poynter.org/?ifcn_misinformation=20-million-chinese-people-converted-to-islam-after-its-proven-that-the-coronavirus-doesnt-affect-muslims," 20 million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims.		",United States
2/19/2020,https://www.poynter.org/?ifcn_misinformation=this-video-shows-corpses-on-the-streets-of-wuhan," This video shows corpses on the streets of Wuhan.		",Europe
2/19/2020,https://www.poynter.org/?ifcn_misinformation=chinese-police-kill-a-woman-escaping-a-covid-19-quarantine-in-china," Chinese police kill a woman escaping a COVID-19 quarantine in China.		",Europe
2/19/2020,https://www.poynter.org/?ifcn_misinformation=india-has-developed-treatment-for-coronavirus," India has developed a treatment for coronavirus.		",India
2/19/2020,https://www.poynter.org/?ifcn_misinformation=chinese-converting-to-islam-after-realising-that-no-muslim-was-affected-by-coronavirus-covd19-in-the-country," Chinese are converting to Islam after realizing that no Muslim was affected by COVID-19 in the country.		",India
2/19/2020,https://www.poynter.org/?ifcn_misinformation=china-seeks-courts-approval-to-kill-20000-coronavirus-patients," China seeks court's approval to kill 20,000 coronavirus patients.		",India
2/19/2020,https://www.poynter.org/?ifcn_misinformation=this-coronavirus-infected-patient-reached-to-dr-vinod-kumar-but-he-wasnt-given-the-treatment-he-was-later-referred-to-bhagalpur-it-further-states-that-one-should-avoid-meat-and-fish-for-3," This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn't given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.		",India
2/19/2020,https://www.poynter.org/?ifcn_misinformation=world-labs-confirm-coronavirus-was-bioengineered," World labs confirm coronavirus was bioengineered.		",Europe
2/19/2020,https://www.poynter.org/?ifcn_misinformation=chinese-elderly-couple-infected-with-coronavirus-say-goodbye-while-they-are-in-a-hospital-2," An elderly Chinese couple infected with coronavirus say goodbye while they are in a hospital.		",Europe
2/19/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-a-biological-warfare-weapon," Coronavirus is a biological warfare weapon.		",United States
2/19/2020,https://www.poynter.org/?ifcn_misinformation=says-the-2008-book-end-of-days-predicted-the-current-coronavirus-outbreak," The 2008 book ""End of Days"" predicted the current coronavirus outbreak.		",United States
2/19/2020,https://www.poynter.org/?ifcn_misinformation=video-says-the-coronavirus-was-invented-and-patented-in-the-usa-and-then-planted-in-china," A video says ""the coronavirus was invented and patented in the USA and then planted in China.""		",United States
2/19/2020,https://www.poynter.org/?ifcn_misinformation=whether-studies-show-that-coronavirus-was-engineered-to-be-a-bioweapon," Studies show the coronavirus was engineered to be a bioweapon.		",United States
2/20/2020,https://www.poynter.org/?ifcn_misinformation=chinese-converting-to-islam-after-realizing-that-no-muslim-was-affected-by-covd19-in-the-country," Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.		",India
2/20/2020,https://www.poynter.org/?ifcn_misinformation=a-chinese-man-has-been-lynched-because-he-pretended-to-have-coronavirus," A Chinese man has been lynched because he pretended to have the coronavirus.		",Europe
2/20/2020,https://www.poynter.org/?ifcn_misinformation=the-drug-arbidol-can-help-from-the-new-coronavirus," The drug Arbidol can help fight the new coronavirus.		",Europe
2/20/2020,https://www.poynter.org/?ifcn_misinformation=20-million-chinese-convert-to-islam-and-coronavirus-does-not-affect-muslims," 20 million Chinese convert to Islam, and coronavirus does not affect Muslims.		",United States
2/20/2020,https://www.poynter.org/?ifcn_misinformation=the-simpsons-predicted-the-coronavirus-2," The Simpsons predicted the new coronavirus outbreak.		",United States
2/21/2020,https://www.poynter.org/?ifcn_misinformation=video-showing-racist-reactions-towards-asian-people," Video shows racist reactions toward Asian people.		",Europe
2/21/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-arrived-in-sarajevo-bosnia-and-herzegovina," Coronavirus has arrived in Sarajevo, Bosnia and Herzegovina.		",Europe
2/21/2020,https://www.poynter.org/?ifcn_misinformation=chinse-people-fleeing-china-to-vietnam-because-of-coronavirus," Chinese people are fleeing China to Vietnam because of coronavirus.		",Europe
2/21/2020,https://www.poynter.org/?ifcn_misinformation=six-coronavirus-cases-confirmed-in-wichita-kansas," Six coronavirus cases confirmed in Wichita, Kansas.		",United States
2/22/2020,https://www.poynter.org/?ifcn_misinformation=pigs-are-burried-alive-due-to-coronavirus," Pigs are buried alive due to coronavirus.		",Europe
2/22/2020,https://www.poynter.org/?ifcn_misinformation=post-says-people-of-color-may-be-immune-to-the-coronavirus-because-of-melanin," Post says ""people of color may be immune to the coronavirus because of melanin.""		",United States
